post_title,datetime,sentiment_scores,sentiment,topic
"After seven years in Australia, I’m finally off the visa merry-go-round | Lucy Pearson",2023-05-29T05:24:57Z,0.0,neutral,migration policy
"After seven years in Australia, I’m finally off the visa merry-go-round | Lucy Pearson",2023-05-29T05:24:57Z,0.0,neutral,visa application
"After seven years in Australia, I’m finally off the visa merry-go-round | Lucy Pearson",2023-05-29T05:24:57Z,0.0,neutral,key individuals
Afternoon Update: former Liberal staffer gives evidence in Lehrmann defamation case; US to place visa bans on some Israeli settlers; and first summer heatwave,2023-12-06T05:40:49Z,0.0,neutral,news
Afternoon Update: former Liberal staffer gives evidence in Lehrmann defamation case; US to place visa bans on some Israeli settlers; and first summer heatwave,2023-12-06T05:40:49Z,0.0,neutral,key individuals
Afternoon Update: former Liberal staffer gives evidence in Lehrmann defamation case; US to place visa bans on some Israeli settlers; and first summer heatwave,2023-12-06T05:40:49Z,0.0,neutral,key events
Afternoon Update: former Liberal staffer gives evidence in Lehrmann defamation case; US to place visa bans on some Israeli settlers; and first summer heatwave,2023-12-06T05:40:49Z,0.0,neutral,migration policy
Afternoon Update: former Liberal staffer gives evidence in Lehrmann defamation case; US to place visa bans on some Israeli settlers; and first summer heatwave,2023-12-06T05:40:49Z,0.0,neutral,natural disaster
High court ruling casts doubt on hundreds of Australian visa refusals,2023-04-12T03:33:14Z,-0.3612,negative,immigration policy
High court ruling casts doubt on hundreds of Australian visa refusals,2023-04-12T03:33:14Z,-0.3612,negative,visa application
"Morning Mail: $2bn ‘silent stalker’ student debt, partner visa blowout, Sudan embassy evacuations ",2023-04-23T20:50:20Z,-0.3612,negative,controversies
Fugitive turned Sydney identity Darko ‘Dougie’ Desic granted permanent visa,2023-02-06T10:14:02Z,0.25,neutral,key individuals
Fugitive turned Sydney identity Darko ‘Dougie’ Desic granted permanent visa,2023-02-06T10:14:02Z,0.25,neutral,permanent residency
‘Regional’ visa pushed by Coalition MPs actually allows migrants to move to cities,2023-04-05T15:00:11Z,0.0,neutral,regional visa
‘Regional’ visa pushed by Coalition MPs actually allows migrants to move to cities,2023-04-05T15:00:11Z,0.0,neutral,government policy
Dozens re-detained after visa cancellation bill passes – as it happened,2023-02-17T08:19:41Z,0.0,neutral,news
Dozens re-detained after visa cancellation bill passes – as it happened,2023-02-17T08:19:41Z,0.0,neutral,visa cancellation bill
Morning Mail: changes to ‘broken’ migration system; Cop28 goes down to the wire; winter looms in Gaza,2023-12-10T19:53:40Z,-0.1531,negative,migration policy
Morning Mail: changes to ‘broken’ migration system; Cop28 goes down to the wire; winter looms in Gaza,2023-12-10T19:53:40Z,-0.1531,negative,economy
Scott Morrison’s secret ministries used as grounds for Afghan man’s cancelled visa case,2023-03-02T14:00:07Z,-0.25,negative,key individuals
Scott Morrison’s secret ministries used as grounds for Afghan man’s cancelled visa case,2023-03-02T14:00:07Z,-0.25,negative,government policy
Scott Morrison’s secret ministries used as grounds for Afghan man’s cancelled visa case,2023-03-02T14:00:07Z,-0.25,negative,refugee visa
Scott Morrison’s secret ministries used as grounds for Afghan man’s cancelled visa case,2023-03-02T14:00:07Z,-0.25,negative,visa application
Peter Dutton promises to slash permanent migration by 25% in short term in populist budget reply,2024-05-16T13:00:39Z,0.128,negative,key individuals
Peter Dutton promises to slash permanent migration by 25% in short term in populist budget reply,2024-05-16T13:00:39Z,0.128,negative,permanent residency
Peter Dutton promises to slash permanent migration by 25% in short term in populist budget reply,2024-05-16T13:00:39Z,0.128,negative,temporary migration
Peter Dutton promises to slash permanent migration by 25% in short term in populist budget reply,2024-05-16T13:00:39Z,0.128,negative,government policy
Visa delays caused by security checks turning Chinese students away from Australian universities,2023-02-18T19:00:05Z,0.34,neutral,visa processing
Visa delays caused by security checks turning Chinese students away from Australian universities,2023-02-18T19:00:05Z,0.34,neutral,visa eligibility
